Entity_id,Category,Summary
513,World University Rankings,Institution: The Josip Juraj Strossmayer University of Osijek has a score of  and rank of 1105 on indicator overall. This university has campuses in Croatia .
513,World University Rankings,Institution: University of Texas at Austin has a score of 67.4 and rank of 72 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: Washington University in St. Louis has a score of 55.8 and rank of 119 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: Rice University has a score of 58.8 and rank of 100 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: Bogaziçi Üniversitesi has a score of  and rank of 704 on indicator overall. This university has campuses in Turkey .
513,World University Rankings,Institution: University of Illinois at Urbana-Champaign has a score of 63.6 and rank of 85 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: Universidad ORT Uruguay has a score of 24.4 and rank of 495 on indicator overall. This university has campuses in Uruguay .
513,World University Rankings,Institution: Boston College has a score of  and rank of 567 on indicator overall. This university has campuses in United States .
513,World University Rankings,Institution: Damascus University has a score of  and rank of 1406 on indicator overall. This university has campuses in Syria .
513,World University Rankings,Institution: University of Peradeniya  has a score of  and rank of 1173 on indicator overall. This university has campuses in Sri Lanka .
513,World University Rankings,Institution: University of Colombo has a score of  and rank of 1371 on indicator overall. This university has campuses in Sri Lanka .
513,World University Rankings,Institution: Stockholm University has a score of 50.1 and rank of 153 on indicator overall. This university has campuses in Sweden .
513,World University Rankings,Institution: Universidad Pontificia Comillas has a score of  and rank of 638 on indicator overall. This university has campuses in Spain .
513,World University Rankings,Institution: Renmin (People's) University of China has a score of  and rank of 628 on indicator overall. This university has campuses in China (Mainland) .
513,World University Rankings,Institution: Yonsei University has a score of 67 and rank of 73 on indicator overall. This university has campuses in South Korea .
513,World University Rankings,Institution: Instituto Tecnológico Autónomo de México (ITAM) has a score of  and rank of 765 on indicator overall. This university has campuses in Mexico .
513,World University Rankings,Institution: SOAS University of London  has a score of 26.3 and rank of 447 on indicator overall. This university has campuses in United Kingdom .
